2026-05-15 19:23:39 [INFO] Portfolio app running at http://localhost:3000
2026-05-15 19:23:39 [INFO] Default admin account: admin / admin123
2026-05-15 19:24:32 [INFO] Portfolio app running at http://localhost:3000
2026-05-15 19:24:32 [INFO] Default admin account: admin / admin123
2026-05-15 19:24:35 [INFO] [API] POST /login 200 88ms user=1
2026-05-15 19:25:18 [INFO] [API] GET /music/songs 304 4ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /sound 304 5ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /me 304 3ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /zone-access/work 304 3ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /zone-access/chat 304 5ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /zone-access/music 304 5ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /notifications/unread-count 304 6ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /zone-access/music 304 2ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /admin/levels/config 304 1ms user=2
2026-05-15 19:25:18 [INFO] [API] GET / 304 3ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /zone-access/music 304 2ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /levels/me 304 3ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /friend-requests 304 3ms user=2
2026-05-15 19:25:18 [INFO] [API] GET / 304 3ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /music/stream/b0f640c1-5b03-448e-9042-b66c6e2abd6e.ogg 206 88ms user=2
2026-05-15 19:25:18 [INFO] [API] GET /music/stream/b0f640c1-5b03-448e-9042-b66c6e2abd6e.ogg 206 2ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /music/songs 304 2ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /sound 304 3ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /me 304 1ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /zone-access/work 304 2ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /zone-access/chat 304 2ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /zone-access/music 304 3ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /zone-access/music 304 0ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /music/stream/b0f640c1-5b03-448e-9042-b66c6e2abd6e.ogg 206 13ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /admin/levels/config 304 2ms user=2
2026-05-15 19:25:22 [INFO] [API] GET / 304 2ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /notifications/unread-count 304 3ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /zone-access/music 304 4ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /levels/me 304 3ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:25:22 [INFO] [API] GET / 304 1ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:25:22 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /music/songs 304 1ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /sound 304 1ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /me 304 1ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /zone-access/work 304 2ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /zone-access/chat 304 2ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /zone-access/music 304 2ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /notifications/unread-count 304 3ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /admin/levels/config 304 3ms user=2
2026-05-15 19:25:23 [INFO] [API] GET / 304 3ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /notifications/unread-count 304 3ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /zone-access/music 304 4ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /levels/me 304 3ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:25:23 [INFO] [API] GET / 304 1ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:25:23 [INFO] [API] GET /friend-requests 304 0ms user=2
2026-05-15 19:25:25 [INFO] [API] GET /music/songs 304 2ms user=2
2026-05-15 19:25:25 [INFO] [API] GET /notifications/unread-count 304 3ms user=2
2026-05-15 19:25:25 [INFO] [API] GET /zone-access/music 304 2ms user=2
2026-05-15 19:25:25 [INFO] [API] GET /levels/me 304 3ms user=2
2026-05-15 19:25:25 [INFO] [API] GET /music/playlists 304 2ms user=2
2026-05-15 19:25:25 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:25:28 [INFO] [API] GET /notifications 304 4ms user=2
2026-05-15 19:25:28 [INFO] [API] GET /notifications/unread-count 304 4ms user=2
2026-05-15 19:25:28 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:25:28 [INFO] [API] GET /levels/me 304 2ms user=2
2026-05-15 19:25:28 [INFO] [API] GET /friend-requests 304 0ms user=2
2026-05-15 19:25:28 [INFO] [API] GET /auth/profile 200 2ms user=2
2026-05-15 19:25:28 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:25:28 [INFO] [API] GET /zone-access/music 304 3ms user=2
2026-05-15 19:25:28 [INFO] [API] GET /levels/me 304 1ms user=2
2026-05-15 19:25:28 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:25:29 [INFO] [API] GET /notifications 304 2ms user=2
2026-05-15 19:25:29 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:25:29 [INFO] [API] GET /zone-access/music 304 3ms user=2
2026-05-15 19:25:29 [INFO] [API] GET /levels/me 304 2ms user=2
2026-05-15 19:25:29 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:25:30 [INFO] [API] PUT /notifications/207/read 200 1ms user=2
2026-05-15 19:25:30 [INFO] [API] PUT /notifications/207/read 200 1ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /music/songs 304 4ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /sound 304 4ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /me 304 1ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /zone-access/work 304 1ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /zone-access/chat 304 2ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /zone-access/music 304 2ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /zone-access/music 304 2ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /admin/levels/config 304 3ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /notifications 304 6ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /notifications/unread-count 304 8ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /zone-access/music 304 8ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /levels/me 304 8ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /friend-requests 304 2ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /music/stream/b0f640c1-5b03-448e-9042-b66c6e2abd6e.ogg 206 94ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /friend-requests 304 2ms user=2
2026-05-15 19:37:34 [INFO] [API] GET /music/stream/b0f640c1-5b03-448e-9042-b66c6e2abd6e.ogg 206 4ms user=2
2026-05-15 19:37:35 [INFO] [API] PUT /notifications/207/read 200 1ms user=2
2026-05-15 19:37:36 [INFO] [API] PUT /notifications/206/read 200 2ms user=2
2026-05-15 19:37:36 [INFO] [API] GET /messages/1 304 3ms user=2
2026-05-15 19:37:36 [INFO] [API] GET /notifications/unread-count 304 4ms user=2
2026-05-15 19:37:36 [INFO] [API] GET /zone-access/music 304 3ms user=2
2026-05-15 19:37:36 [INFO] [API] GET /levels/me 304 4ms user=2
